_key,active,full_name,team,position,status,espn_id,fantasy_data_id,gsis_id,kalshi_id,oddsjam_id,rotowire_id,rotoworld_id,sportradar_id,stats_id,swish_id,yahoo_id
12634,true,Jordan Watkins,SF,WR,Active,,26103,,0d2262e3-58c9-4790-95a7-3fa1ebdfe802,460464F1FCF39C07,18647,,bd65c350-6044-415a-8749-e70a3b8f86e2,,,
12635,true,Tonka Hemingway,LV,DT,Active,,26141,,6f58a2e7-71ce-469e-ae56-6caa83c5d354,109A429E2BDED4A9,18704,,9808be58-a38d-463c-9d9c-537c0a03fb55,,,
12636,true,Que Robinson,DEN,LB,Active,,26210,,20614ca1-3e12-4060-9b68-92a24263859a,016CC8B2BBB9B4F7,18676,,9d313477-3091-403a-a1d6-1f1e7e5ac4c4,,,
12637,true,Ruben Hyppolite,CHI,LB,Active,,26329,,680d69ea-7086-4568-aae6-4c4353eedc6d,63026DCDBD0B6A32,18814,,8da4c940-6483-46e7-af3b-c49e8d2355c7,,,
12638,true,Quincy Riley,NO,CB,Active,,26182,,c4b783b3-9873-48d0-9471-df1ab80ebbd6,D24680556F85A626,18600,,3edaf8a7-e949-4f9b-be56-e0bf627ee7eb,,,
12639,true,Malachi Moore,NYJ,DB,Active,,24134,,a00e9144-07c6-4ba7-a762-a062fd36f8d3,7E90B96A0D653CA6,18631,,469e4a2a-d6f0-49fc-bd82-42e88356530a,,,
1264,true,Justin Tucker,,K,Active,15683,14688,00-0029597,,37DEAB30F68A,8398,8241,20a0bad2-d530-4ff4-a2df-5c0a21a1f5db,448132,448132,26534
12640,true,Teddye Buchanan,BAL,LB,Active,,26164,,5e9c01f3-7fb9-4484-9c50-053bd63e2486,507BF25AFECB5E4C,18734,,3dbb3f2f-f605-4a09-bced-2c45d985c994,,,
12641,true,Jaylin Lane,WAS,WR,Active,,25976,,474c9a77-b128-44f2-86c6-361af53a1894,283F8A755704B91C,18643,,2ec24c7a-8d5d-453a-b45d-03eb27c645d0,,,
12642,true,Jalen Travis,IND,OT,Active,,26236,,0aace4be-e0a5-4e11-9bbf-784c96d8fad0,4E63A548FDF774EE,18761,,7b82ad68-1f3e-44fa-a43f-fcbad0be05bc,,,
