id,value,team
2513,Karl-Anthony Towns,NY
2514,D'Angelo Russell,MEM
2515,Jahlil Okafor,IND
2516,Kristaps Porzingis,GS
2517,Mario Hezonja,CLE
2518,Willie Cauley-Stein,HOU
2519,Emmanuel Mudiay,SAC
2520,Stanley Johnson,SA
2521,Frank Kaminsky,PHO
2522,Justise Winslow,TOR
2523,Myles Turner,MIL
2524,Trey Lyles,MIN
2525,Devin Booker,PHO
2526,Cameron Payne,PHI
2527,Kelly Oubre Jr.,IND
2528,Terry Rozier,MIA
2529,Rashad Vaughn,DAL
2530,Sam Dekker,TOR
2531,Jerian Grant,HOU
2532,Delon Wright,IND
2533,Justin Anderson,IND
2534,Bobby Portis,MIA
2535,Rondae Hollis-Jefferson,POR
2536,Tyus Jones,DEN
2537,Jarell Martin,CLE
2539,Larry Nance Jr.,IND
2540,RJ Hunter,CHA
2541,Chris McCullough,DET
2542,Kevon Looney,LAL
2543,Cedi Osman,SA
2544,Montrezl Harrell,PHI
2545,Jordan Mickey,MIA
2546,Anthony Brown,PHI
2547,Willy Hernangomez,NO
2548,Rakeem Christmas,IND
2549,Richaun Holmes,WAS
2550,Darrun Hilliard,SA
2552,Josh Richardson,DET
2553,Pat Connaughton,CHA
2554,Olivier Hanlan,SA
2555,Joe Young,IND
2556,Andrew Harrison,GS
2558,Norman Powell,CHI
2560,Dakari Johnson,MEM
2565,Sir'Dominic Pointer,CLE
2568,Branden Dawson,ORL
2570,J.P. Tokoto,NY
2573,Luis Montero,DET
2574,Cristiano Felicio,CHI
2575,Aaron Harrison,DAL
2576,Boban Marjanovic,HOU
2577,Duje Dukan,SAC
2578,Jonathon Simmons,PHI
2580,Axel Toupane,MIL
2583,Cliff Alexander,NO
2584,Brandon Ashley,DAL
2588,Salah Mejri,DAL
2590,Jonathan Holmes,BOS
2591,Treveon Graham,DET
2594,Michael Frazier,HOU
2595,Greg Whittington,DEN
2596,Marcelo Huertas,HOU
2605,Travis Trice,MIL
2627,Omari Johnson,IND
2628,Keifer Sykes,BKN
2631,Vince Hunter,MEM
2634,T.J. McConnell,IND
2635,Christian Wood,LAL
2640,Quinn Cook,SAC
2645,Briante Weber,MIA
2647,Julian Washburn,GS
2658,Xavier Munford,MIL
2662,Alan Williams,BKN
2665,Denzel Valentine,BOS
2666,Paul Zipser,BKN
2667,Maurice Ndour,NY
2668,Marshall Plumlee,MIL
2669,Ron Baker,WAS
2670,Mindaugas Kuzminskas,NY
2671,Kay Felder,TOR
2672,Georges Niang,GS
2673,Patrick McCaw,TOR
2674,Damian Jones,CLE
2675,Timothe Luwawu-Cabarrot,PHO
2676,Ben Simmons,LAC
2677,James Webb III,BKN
2678,Sergio Rodriguez,PHI
2679,Shawn Long,HOU
2680,Danuel House,DET
2681,Daniel Ochefu,WAS
2682,Michael Gbinije,GS
2683,Henry Ellenson,TOR
2684,Mike Tobey,CHA
2685,Isaiah Whitehead,DET
2686,Caris LeVert,MIL
2687,Egidijus Mockevicius,BKN
2688,Kris Dunn,LAC
2689,Troy Williams,SAC
2690,Wade Baldwin IV,IND
2691,Deyonta Davis,HOU
2692,Wayne Selden,NY
2693,Ivica Zubac,IND
2694,Brandon Ingram,TOR
2695,Chinanu Onuaku,POR
2696,Taurean Prince,DET
2697,Matt Costello,SA
2698,Malcolm Delaney,ATL
2699,DeAndre' Bembry,MIL
2700,Cheick Diallo,MIA
2701,Buddy Hield,ATL
2702,Demetrius Jackson,LAL
2703,Ben Bentil,DAL
2704,Abdel Nader,PHO
2705,Jaylen Brown,PHI
2706,Dejounte Murray,NO
2707,Pascal Siakam,IND
2708,Fred VanVleet,HOU
2709,Jarrod Uthoff,NO
2710,Jakob Poeltl,TOR
2711,Brice Johnson,MEM
2712,Diamond Stone,CHI
2713,Joel Bolomboy,MIL
2714,Tyrone Wallace,NO
2715,Marcus Paige,CHA
2716,Stefan Jankovic,MIA
2717,Thon Maker,HOU
2718,Malcolm Brogdon,NY
2719,Dorian Finney-Smith,CHA
2720,Jameel Warney,DAL
2721,AJ Hammons,MIA
2722,Kyle Collinsworth,UTH
2723,Dragan Bender,GS
2724,Tyler Ulis,SAC
2725,Marquese Chriss,OKC
2726,Domantas Sabonis,SAC
2727,Daniel Hamilton,CLE
2728,Jake Layman,BOS
2729,Isaiah Cousins,UTH
2730,Georgios Papagiannis,POR
2731,Malachi Richardson,PHI
2732,Skal Labissiere,WAS
2733,Jamal Murray,DEN
2734,Juancho Hernangomez,TOR
2735,Malik Beasley,DET
2736,Stephen Zimmerman,SA
2738,Alex Poythress,ATL
2739,Zach Auguste,LAL
2740,Quincy Ford,NO
2742,Jonathan Gibson,BOS
2743,Keith Hornsby,DAL
2744,Nicolas Brussino,ATL
2745,C.J. Williams,BKN
2746,Elgin Cook,GS
2747,J.J. Avila,CHI
2748,Brandon Paul,SA
2749,Anthony Barber,ATL
2750,Orlando Johnson,MIL
2751,J.J. O'Brien,MIL
2752,D'Vauntes Smith-Rivera,CHI
2753,Chasson Randle,MIN
2754,Rasheed Sulaimon,CHA
2755,Andrew Andrews,CHA
2756,Damion Lee,PHO
2757,Jalen Jones,WAS
2758,Marcus Georges-Hunt,BOS
2759,Okaro White,CHI
2760,Nick Zeisloft,IND
2761,Beau Beech,BKN
2762,Yogi Ferrell,LAC
2763,Casper Ware,WAS
2764,Sheldon Mac,CLE
2765,Nikola Jovanovic,DET
2766,Trey Freeman,DET
2767,Shawn Dawson,NO
2768,Patricio Garino,ORL
2769,Nicolas Laprovittola,SA
2770,Ryan Arcidiacono,DET
2771,Bryn Forbes,MIN
2772,Yanick Moreira,TOR
2773,Derrick Jones Jr.,LAC
2774,Shaquille Harrison,MEM
2775,Mike Moser,PHO
2776,Tim Quarterman,HOU
2778,Chris Crawford,MEM
2779,Scott Wood,GS
2780,Isaiah Taylor,TOR
2781,Gary Payton II,GS
2782,Kyle Wiltjer,TOR
2783,Josh Magette,ORL
2784,Kaleb Tarczewski,OKC
2785,Jaleel Roberts,MIL
2786,Julian Jacobs,LAL
2787,Thomas Walkup,CHI
2788,Perry Ellis,CHA
2789,Vashil Fernandez,MIA
2790,Jaleel Cousins,DAL
2791,Mamadou N'Diaye,DET
2792,David Nwaba,DET
2793,Lauri Markkanen,UTH
2794,Antonio Blakeney,CHI
2795,Damyean Dotson,NY
2796,Frank Ntilikina,CHA
2797,Ognjen Jaramaz,NY
2798,Luke Kornet,SA
2799,T.J. Leaf,POR
2800,Edmond Sumner,CHA
2801,Ike Anigbogu,NO
2802,Jordan Bell,IND
2803,Chris Boucher,UTH
2804,Markelle Fultz,TOR
2805,Mathias Lessort,LAC
2806,Jonah Bolden,PHO
2807,Furkan Korkmaz,IND
2808,Mike Young,WAS
2809,Devin Robinson,TOR
2810,Luke Kennard,PHO
2811,Malik Monk,SAC
2812,Dwayne Bacon,LAL
2813,Yakuba Ouattara,BKN
2814,Sasha Vezenkov,TOR
2815,Jarrett Allen,CLE
2816,Justin Patton,HOU
2817,Rade Zagorac,MEM
2818,Dillon Brooks,PHO
2819,Kobi Simmons,TOR
2820,Ivan Rabb,NY
2821,Thomas Bryant,CLE
2822,Lonzo Ball,CLE
2823,Kyle Kuzma,MIL
2824,Alex Caruso,OKC
2825,Josh Hart,NY
2826,Isaiah Hartenstein,OKC
2827,Zhou Qi,HOU
2828,Cameron Oliver,ATL
2829,John Collins,DET
2830,Alpha Kaba,ATL
2831,Tyler Dorsey,DAL
2832,Frank Jackson,UTH
2833,Charles Cooke,MIA
2834,Jayson Tatum,BOS
2835,Jabari Bird,ATL
2836,Semi Ojeleye,LAC
2837,Kadeem Allen,NY
2838,Ante Zizic,CLE
2839,Jaron Blossomgame,HOU
2840,Derrick White,BOS
2841,Malcolm Miller,UTH
2842,Kennedy Meeks,TOR
2843,OG Anunoby,NY
2844,Alfonzo McKinnie,CHI
2845,Sindarius Thornwell,ORL
2846,Jawun Evans,OKC
2847,Milos Teodosic,LAC
2848,Nigel Williams-Goss,UTH
2849,Royce O'Neale,CHA
2850,Tony Bradley,ATL
2851,Donovan Mitchell,CLE
2852,Bam Adebayo,MIA
2853,Matt Williams Jr.,MIA
2854,Derrick Walton,DET
2855,Bronson Koenig,CHI
2856,Sterling Brown,LAL
2857,Jalen Moore,MIL
2858,D.J. Wilson,PHI
2859,Johnathan Motley,PHO
2860,Dennis Smith,DAL
2861,Josh Jackson,TOR
2862,Davon Reed,LAL
2863,Alec Peters,PHO
2864,Terrance Ferguson,NY
2865,Zach Collins,CHI
2866,Caleb Swanigan,POR
2867,Justin Jackson,MIN
2868,Harry Giles,CHA
2869,Frank Mason,LAL
2870,De'Aaron Fox,SA
2871,Monte Morris,IND
2872,Vlatko Cancar,DEN
2873,Torrey Craig,BOS
2874,Tyler Lydon,SAC
2875,Wes Iwundu,SAC
2876,Jonathan Isaac,ORL
